Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
ECC,Level_1,250,3,0.0001856000001225766
ECC,Level_1,250,4,0.0002971999999772379
ECC,Level_1,250,5,0.0001882000001387496
ECC,Level_1,250,6,0.00011199999994460086
ECC,Level_1,250,7,0.0003067000000100961
ECC,Level_1,250,8,0.00031320000016421545
ECC,Level_1,250,9,0.00018680000016502163
ECC,Level_1,250,10,0.0002145999999356718
ECC,Level_1,250,11,0.00021989999981997244
ECC,Level_1,250,12,0.0002225000000635191
ECC,Level_1,250,13,0.0001220999999986816
ECC,Level_1,250,14,0.0002469000000928645
ECC,Level_1,250,15,0.00013789999979962886
ECC,Level_1,250,16,0.00018679999993764795
ECC,Level_1,250,17,0.00033959999996113766
ECC,Level_1,250,18,0.0004357999998774176
ECC,Level_1,250,19,0.00016760000016802223
ECC,Level_1,250,20,0.00014529999998558196
ECC,Level_1,250,21,0.00013330000001587905
ECC,Level_1,250,22,0.00019939999992857338
ECC,Level_1,250,23,0.0001330000000052678
ECC,Level_1,250,24,0.0002741999999216205
ECC,Level_1,250,25,0.0003054999999676511
ECC,Level_1,250,26,0.00015930000017760904
ECC,Level_1,250,27,0.0003128000000742759
ECC,Level_1,250,28,0.00017960000013772515
ECC,Level_1,250,29,0.00013059999992037774
ECC,Level_1,250,30,0.00014230000010684307
ECC,Level_1,250,31,0.00020930000005137117
ECC,Level_1,250,32,0.00012020000008305942
ECC,Level_1,250,33,0.0002620000000206346
ECC,Level_1,250,34,0.00019760000009227952
ECC,Level_1,250,35,0.00024710000002414745
ECC,Level_1,250,36,0.0002515999999559426
ECC,Level_1,250,37,0.00030119999996713887
ECC,Level_1,250,38,0.00019049999991693767
ECC,Level_1,250,39,0.0003372000001036213
ECC,Level_1,250,40,0.0002478999999766529
ECC,Level_1,250,41,0.00022059999992052326
ECC,Level_1,250,42,0.00032089999990603246
ECC,Level_1,250,43,0.000186600000006365
ECC,Level_1,250,44,0.0003056000000469794
ECC,Level_1,250,45,0.00027569999997467676
ECC,Level_1,250,46,0.00019270000007054477
ECC,Level_1,250,47,0.00018479999994269747
ECC,Level_1,250,48,0.0002777000001970009
ECC,Level_1,250,49,0.0002417000000605185
ECC,Level_1,250,50,0.0001357000001007691
ECC,Level_1,250,51,0.0001356000000214408
ECC,Level_1,250,52,0.00031619999981558067
ECC,Level_1,250,53,0.00020429999995030812
ECC,Level_1,250,54,0.0003050999998777115
ECC,Level_1,250,55,0.00013009999997848354
ECC,Level_1,250,56,0.00020130000007156923
ECC,Level_1,250,57,0.0002587999999832391
ECC,Level_1,250,58,0.000181399999974019
ECC,Level_1,250,59,0.000278600000001461
ECC,Level_1,250,60,0.00033389999998689746
ECC,Level_1,250,61,0.00022310000008474162
ECC,Level_1,250,62,0.0001850000001013541
ECC,Level_1,250,63,0.00021270000002004963
ECC,Level_1,250,64,0.00033189999999194697
ECC,Level_1,250,65,0.00032699999997021223
ECC,Level_1,250,66,0.00026779999984682945
ECC,Level_1,250,67,0.00016019999998206913
ECC,Level_1,250,68,0.0003435999999510386
ECC,Level_1,250,69,0.00015209999992293888
ECC,Level_1,250,70,0.00025540000001456065
ECC,Level_1,250,71,0.00018559999989520293
ECC,Level_1,250,72,0.00018939999995382095
ECC,Level_1,250,73,0.00031930000000102154
ECC,Level_1,250,74,0.00019610000003922323
ECC,Level_1,250,75,0.0002193000000261236
ECC,Level_1,250,76,0.00011679999988700729
ECC,Level_1,250,77,0.00033660000008239876
ECC,Level_1,250,78,0.00022399999988920172
ECC,Level_1,250,79,0.0003985000000739092
ECC,Level_1,250,80,0.00011620000009315845
ECC,Level_1,250,81,0.0001896999999644322
ECC,Level_1,250,82,0.00028019999990647193
ECC,Level_1,250,83,0.0001886000000013155
ECC,Level_1,250,84,0.0002368999998907384
ECC,Level_1,250,85,0.00018729999987954216
ECC,Level_1,250,86,0.00025479999999333813
ECC,Level_1,250,87,0.0002253999998629297
ECC,Level_1,250,88,0.0001583999999184016
ECC,Level_1,250,89,0.00019760000009227952
ECC,Level_1,250,90,0.0001351000000795466
ECC,Level_1,250,91,0.0002810999999383057
ECC,Level_1,250,92,0.00019829999996545666
ECC,Level_1,250,93,0.00030519999995703984
ECC,Level_1,250,94,0.00015980000011950324
ECC,Level_1,250,95,0.00019879999990735087
ECC,Level_1,250,96,0.00020429999995030812
ECC,Level_1,250,97,0.0001422999998794694
ECC,Level_1,250,98,0.00018490000002202578
ECC,Level_1,250,99,0.00014209999994818645
ECC,Level_1,250,100,0.0002163000001473847
ECC,Level_2,50,1,0.0008291999999983091
ECC,Level_2,50,2,0.002111499999955413
ECC,Level_2,50,3,0.0008972000000539992
ECC,Level_2,50,4,0.001795399999991787
ECC,Level_2,50,5,0.0006739999998899293
ECC,Level_2,50,6,0.0009408999999322987
ECC,Level_2,50,7,0.0012481000001116627
ECC,Level_2,50,8,0.0009512999999969907
ECC,Level_2,50,9,0.0011061000000154309
ECC,Level_2,50,10,0.0011855000000196014
ECC,Level_2,50,11,0.0012421999999787658
ECC,Level_2,50,12,0.000767400000086127
ECC,Level_2,50,13,0.0013459000001603272
ECC,Level_2,50,14,0.002187199999980294
ECC,Level_2,50,15,0.0011073000000578759
ECC,Level_2,50,16,0.000734799999918323
ECC,Level_2,50,17,0.0020709000000351807
ECC,Level_2,50,18,0.0014843999999811786
ECC,Level_2,50,19,0.0014678000000003522
